ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
256	सुदुर्लभः गन्धकः कः अस्ति?	कृष्णः	श्वेतः / रक्तः / कृष्णः / पीतः	कृष्णः	1		श्वेतः	1		"उत्तरम्: श्वेतः

श्वेतगन्धकः सुदुर्लभः मन्यते आयुर्वेदे अन्ये गन्धकप्रकाराः - रक्तः, कृष्णः, पीतः - अपेक्षाकृत सुलभाः सन्ति"	1	
262	कस्मिन् पर्वते उत्पन्नं अभ्रकं अत्यन्तं बहुसत्त्वम् भवति?	उत्तरशैले	उत्तरशैले / पूर्वशैले / दक्षिणशैले / पश्चिमशैले	उत्तरशैले	1		उत्तरशैले	1		उत्तरशैले	1	(:Uparasa {'lemma': अभ्रक})<-[:IS_BEST_AMONG]-({'lemma': उत्तर-शैलोत्थ-अभ्रक}); (:Uparasa {'lemma': अभ्रक})<-[:IS_BEST_AMONG]-({'lemma': वज्र-अभ्रक}); (:Uparasa {'lemma': अभ्रक})-[:IS_SYNONYM_OF]->({'lemma': अभ्र})
263	स्वल्पसत्त्वम् अभ्रकं कस्मिन् पर्वते भवति?	दक्षिणशैले	उत्तरशैले / पूर्वशैले / दक्षिणशैले / पश्चिमशैले	उत्तरशैले	1		उत्तरशैले	1	(:Uparasa {'lemma': अभ्रक})-[:IS_SYNONYM_OF]->({'lemma': अभ्र}); (:Uparasa {'lemma': अभ्रक})<-[:IS_SYNONYM_OF]-({'lemma': गगन}); (:Uparasa {'lemma': अभ्रक})<-[:IS_VARIANT_OF]-({'lemma': अशुद्ध-अभ्रक})	उत्तरशैले	1	(:Uparasa {'lemma': अभ्रक})<-[:IS_VARIANT_OF]-({'lemma': उत्तर-शैलोत्थ-अभ्रक}); (:Uparasa {'lemma': अभ्रक})<-[:IS_VARIANT_OF]-({'lemma': दक्षिण-अद्रिभव-अभ्रक})
264	हरितालस्य कति भेदाः सन्ति?	२	२ / ३ / ४ / ६	चत्वारः	1	(:Uparasa {'lemma': हरिताल})<-[:IS_VARIANT_OF]-({'lemma': अशुद्ध-हरिताल}); (:Uparasa {'lemma': हरिताल})<-[:IS_VARIANT_OF]-({'lemma': पिण्ड-हरिताल}); (:Uparasa {'lemma': हरिताल})<-[:IS_VARIANT_OF]-({'lemma': पत्र-हरिताल})	हरितालस्य २ भेदाः सन्ति	1	(:Uparasa {'lemma': हरिताल})<-[:IS_SNIGDHA_RUUKSHA_GUNA_OF]-({'lemma': स्निग्ध}); (:Uparasa {'lemma': हरिताल})-[:IS_TYPE_OF]->({'lemma': उपरस}); (:Uparasa {'lemma': हरिताल})<-[:IS_PASSIVISED_BY]-({'lemma': पित्त})	३	1	(:Uparasa {'lemma': हरिताल})<-[:IS_VARIANT_OF]-({'lemma': अशुद्ध-हरिताल}); (:Uparasa {'lemma': हरिताल})<-[:IS_VARIANT_OF]-({'lemma': पिण्ड-हरिताल}); (:Uparasa {'lemma': हरिताल})<-[:IS_VARIANT_OF]-({'lemma': पत्र-हरिताल})
266	मनःशिलायाः पर्यायाः के सन्ति?	सर्वे	नैपाली / कुनटी / गोला / सर्वे	गोला, कुनटी	1	(:Uparasa {'lemma': मनःशिला})<-[:IS_SYNONYM_OF]-({'lemma': दिव्यौषधि}); (:Uparasa {'lemma': मनःशिला})<-[:IS_SYNONYM_OF]-({'lemma': गोला}); (:Uparasa {'lemma': मनःशिला})<-[:IS_SYNONYM_OF]-({'lemma': कुनटी})	सर्वे	1	(:Uparasa {'lemma': कुनटी})-[:IS_SYNONYM_OF]->({'lemma': मनःशिला}); (:Uparasa {'lemma': मनःशिला})<-[:IS_SYNONYM_OF]-({'lemma': दिव्यौषधि}); (:Uparasa {'lemma': मनःशिला})<-[:IS_SYNONYM_OF]-({'lemma': गोला})	नैपाली कुनटी च	1	(:Uparasa {'lemma': नैपाली})-[:IS_SYNONYM_OF]->({'lemma': मनःशिला}); (:Uparasa {'lemma': कुनटी})-[:IS_SYNONYM_OF]->({'lemma': मनःशिला}); (:Uparasa {'lemma': मनःशिला})<-[:IS_SYNONYM_OF]-({'lemma': नैपाली}); (:Uparasa {'lemma': मनःशिला})<-[:IS_SYNONYM_OF]-({'lemma': कुनटी})
267	अशुद्धायाः मनःशिलायाः कः दोषः भवति?	मूत्रकृच्छ्रः	मूत्रकृच्छ्रः / मधुमेहः / कुष्ठः / अग्निमान्द्यम्	कुष्ठः	1		मूत्रकृच्छ्रः	1	(:Nija_roga {'lemma': मूत्रकृच्छ्र})-[:IS_CURED_BY]->({'lemma': सुरा}); (:Nija_roga {'lemma': मूत्रकृच्छ्र})-[:IS_CURED_BY]->({'lemma': राजिका-तैल}); (:Nija_roga {'lemma': मूत्रकृच्छ्र})-[:IS_CURED_BY]->({'lemma': गुड-सहित-घोल})	उत्तरम्: कुष्ठः	1	
268	अञ्जनस्य कति भेदाः भवन्ति?	२	२ / ३ / ४ / ६	चत्वारः	1	(:Uparasa {'lemma': अञ्जन})<-[:IS_VARIANT_OF]-({'lemma': स्रोतः-अञ्जन}); (:Uparasa {'lemma': अञ्जन})<-[:IS_VARIANT_OF]-({'lemma': सौवीर-अञ्जन}); (:Uparasa {'lemma': अञ्जन})-[:IS_TYPE_OF]->({'lemma': उपरस})	४	1	(:Uparasa {'lemma': अञ्जन})-[:IS_TYPE_OF]->({'lemma': उपरस}); (:Uparasa {'lemma': अञ्जन})-[:HAS_SIMILAR_VARNA_PROPERTY_AS]->({'lemma': महिषाक्ष}); (:Uparasa {'lemma': अञ्जन})<-[:IS_VARIANT_OF]-({'lemma': स्रोतः-अञ्जन})	३	1	(:Uparasa {'lemma': अञ्जन})<-[:IS_VARIANT_OF]-({'lemma': स्रोतः-अञ्जन}); (:Uparasa {'lemma': अञ्जन})<-[:IS_VARIANT_OF]-({'lemma': सौवीर-अञ्जन}); (:Uparasa {'lemma': अञ्जन})<-[:IS_SYNONYM_OF]-({'lemma': कापोताञ्जन})
272	सुरमृत्तिका कस्य पर्यायः अस्ति?	सौराष्ट्री	कासीसम् / खर्परः / सौराष्ट्री / वालुका	सौराष्ट्री	1	(:Uparasa {'lemma': सुरमृत्तिका})-[:IS_SYNONYM_OF]->({'lemma': सौराष्ट्री})	सौराष्ट्री	1	(:Uparasa {'lemma': सुरमृत्तिका})-[:IS_SYNONYM_OF]->({'lemma': सौराष्ट्री})	सौराष्ट्र्याः	1	(:Uparasa {'lemma': सुरमृत्तिका})-[:IS_SYNONYM_OF]->({'lemma': सौराष्ट्री})
275	निषद्वरः कस्य पर्यायः अस्ति?	कर्दमः	कर्दमः / कृष्णमृत्तिका / बोलम् / कङ्कुष्ठः	कृष्णमृत्तिका	1		कर्दमः	1	(:Uparasa {'lemma': निषद्वर})-[:IS_SYNONYM_OF]->({'lemma': पङ्क})	कर्दमः	1	(:Uparasa {'lemma': निषद्वर})-[:IS_SYNONYM_OF]->({'lemma': पङ्क}); (:Uparasa {'lemma': कर्दम})-[:IS_SYNONYM_OF]->({'lemma': पङ्क})
277	चुलुकः कस्य पर्यायः अस्ति?	मलः ; पलितः	वराटः / मलः / पलितः	वराटः	1		वराटः	1	(:Uparasa {'lemma': चुलुक})-[:IS_SYNONYM_OF]->({'lemma': पङ्क}); (:Uparasa {'lemma': वराट})-[:IS_SYNONYM_OF]->({'lemma': कपर्दक})	मलस्य	1	(:Uparasa {'lemma': चुलुक})-[:IS_SYNONYM_OF]->({'lemma': पङ्क}); (:Uparasa {'lemma': मल})-[:IS_SYNONYM_OF]->({'lemma': पङ्क}); (:Uparasa {'lemma': वराट})-[:IS_SYNONYM_OF]->({'lemma': कपर्दक})
278	कङ्कुष्ठस्य भेदाः कति?	२	२ / ३ / ४ / ६	चत्वारः	1		२	1		२	1	(:Uparasa {'lemma': कङ्कुष्ठ})-[:IS_TYPE_OF]->({'lemma': उपरस}); (:Uparasa {'lemma': कङ्कुष्ठ})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कटु}); (:Uparasa {'lemma': कङ्कुष्ठ})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तिक्त})
279	हीरकः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वे	चन्द्रः / मणिवरः / वज्रः / सर्वे	सर्वे	1	(:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': मणिवर}); (:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': वज्र}); (:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': चन्द्र})	चन्द्रः मणिवरश्च	1	(:Ratna {'lemma': चन्द्र})-[:IS_SYNONYM_OF]->({'lemma': हीरक}); (:Ratna {'lemma': मणिवर})-[:IS_SYNONYM_OF]->({'lemma': हीरक}); (:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': मणिवर}); (:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': चन्द्र})	सर्वे	1	(:Ratna {'lemma': वज्र})-[:IS_SYNONYM_OF]->({'lemma': हीरक}); (:Ratna {'lemma': मणिवर})-[:IS_SYNONYM_OF]->({'lemma': हीरक}); (:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': मणिवर}); (:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': वज्र})
281	शोणरत्नं कस्य पर्यायः अस्ति?	माणिक्यम्	हीरकः / माणिक्यम् / नीलमणिः / वैदूर्यम्	माणिक्यम्	1	(:Ratna {'lemma': माणिक्य})<-[:IS_SYNONYM_OF]-({'lemma': शोणरत्न})	माणिक्यम्	1	(:Ratna {'lemma': माणिक्य})<-[:IS_SYNONYM_OF]-({'lemma': शोणरत्न}); (:Ratna {'lemma': शोणरत्न})-[:IS_SYNONYM_OF]->({'lemma': माणिक्य})	माणिक्यम्	1	(:Ratna {'lemma': माणिक्य})<-[:IS_SYNONYM_OF]-({'lemma': शोणरत्न}); (:Ratna {'lemma': शोणरत्न})-[:IS_SYNONYM_OF]->({'lemma': माणिक्य})
282	अश्मगर्भः कस्य पर्यायः अस्ति?	हरिन्मणिः	हरिन्मणिः / नीलमणिः / वैदूर्यमणिः / पुष्परागः	वैदूर्यमणिः	1		हरिन्मणिः	1	(:Ratna {'lemma': अश्मगर्भ})-[:IS_SYNONYM_OF]->({'lemma': गारुत्मत}); (:Ratna {'lemma': हरिन्मणि})-[:IS_SYNONYM_OF]->({'lemma': गारुत्मत})	हरिन्मणेः	1	(:Ratna {'lemma': अश्मगर्भ})-[:IS_SYNONYM_OF]->({'lemma': गारुत्मत}); (:Ratna {'lemma': हरिन्मणि})-[:IS_SYNONYM_OF]->({'lemma': गारुत्मत})
283	केतुग्रहवल्लभः अधोलिखितेषु कस्य पर्यायः अस्ति?	वैदूर्यम्	इन्द्रनालः / पुष्परागः / माणिक्यम् / वैदूर्यम्	वैदूर्यम्	1		माणिक्यस्य	1		वैदूर्यम्	1	(:Ratna {'lemma': केतुग्रहवल्लभ})-[:IS_SYNONYM_OF]->({'lemma': वैदूर्य}); (:Ratna {'lemma': पुष्पराग})<-[:IS_SYNONYM_OF]-({'lemma': वाचस्पतिवल्लभ}); (:Ratna {'lemma': पुष्पराग})<-[:IS_SYNONYM_OF]-({'lemma': मञ्जुमणि})
284	स्थावरविषाणि कति सन्ति?	९	५ / ७ / ९ / ११	पञ्च	1		स्थावरविषाणि ७ सन्ति	1		"उत्तरम्: ९

स्थावरविषाणि नव सन्ति आयुर्वेदे स्थावरविषाणाम् नव प्रकाराः वर्णिताः - वत्सनाभ, कालकूट, हालाहल, ब्रह्मपुत्र, हारिद्र, मेषशृङ्ग, श्रृङ्गक, सौराष्ट्रिक, शाखोटक इति"	1	
285	उपविषाणि कति सन्ति?	७	५ / ७ / ९ / ११	उत्तरम्: ९	1		उपविषाणि ७ सन्ति	1		उत्तरम्: ९	1	
286	धान्यस्य  प्रकाराः कति सन्ति?	५	२ / ३ / ४ / ५	त्रयः	1	(:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शूकधान्य})	धान्यस्य प्रकाराः ३ सन्ति	1	(:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शूकधान्य})	उत्तरम्: ३	1	(:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शूकधान्य})
289	सर्वोत्तमम् व्रीहिधान्यम् किम्?	कृष्णव्रीहिः	कुकटाण्डकः / शालामुखः / कृष्णव्रीहिः / जतुमुखः	कृष्णव्रीहिः	1		शालामुखः	1	(:Vriihi_dhanya {'lemma': व्रीहिधान्य})-[:IS_TYPE_OF]->({'lemma': धान्य}); (:Vriihi_dhanya {'lemma': व्रीहिधान्य})<-[:IS_TYPE_OF]-({'lemma': षष्टिक}); (:Vriihi_dhanya {'lemma': व्रीहिधान्य})<-[:IS_SYNONYM_OF]-({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': शालामुख})-[:IS_TYPE_OF]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': शालामुख})-[:IS_TYPE_OF]->({'lemma': व्रीहि})	कृष्णव्रीहिः	1	(:Vriihi_dhanya {'lemma': शालामुख})-[:IS_TYPE_OF]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': शालामुख})-[:IS_TYPE_OF]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': कृष्णव्रीहि})-[:IS_BEST_AMONG]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': कृष्णव्रीहि})-[:IS_TYPE_OF]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': कृष्णव्रीहि})-[:IS_BEST_AMONG]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': कृष्णव्रीहि})-[:IS_TYPE_OF]->({'lemma': व्रीहि})
290	सर्वोत्तमः शालिधान्यम् किम्?	रक्तशालिः	वापिता शालिः / रक्तशालिः / छिन्नरूढा शालिः / पुराणशालिः	पुराणशालिः	1		रक्तशालिः	1	(:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_BEST_AMONG]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_BEST_AMONG]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_BEST_AMONG]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि})	रक्तशालिः	1	(:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_BEST_AMONG]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_BEST_AMONG]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_BEST_AMONG]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालिधान्य}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': शालि}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालि}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालि}); (:Shaali_dhanya {'lemma': रक्तशालि})-[:IS_TYPE_OF]->({'lemma': शालि})
291	यवस्य विपाकः कः अस्ति?	कटुः	मधुरः / अम्लः / कटुः / तिक्तः	कटुः	1	(:Shuuka_dhanya {'lemma': यव})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': कटु}); (:Shuuka_dhanya {'lemma': यव})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': कटु}); (:Kshudra_dhanya {'lemma': यव})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': कटु}); (:Shuuka_dhanya {'lemma': यव})<-[:IS_RASA_PROPERTY_OF]-({'lemma': मधुर}); (:Shuuka_dhanya {'lemma': यव})<-[:IS_RASA_PROPERTY_OF]-({'lemma': मधुर})	मधुरः	1	(:Vipaaka_property {'lemma': मधुर})-[:IS_VIPAAKA_PROPERTY_OF]->({'lemma': धवलपाण्डुमांस}); (:Vipaaka_property {'lemma': मधुर})-[:IS_VIPAAKA_PROPERTY_OF]->({'lemma': गव्य-दुग्ध}); (:Vipaaka_property {'lemma': मधुर})-[:IS_VIPAAKA_PROPERTY_OF]->({'lemma': ग्राम्यमांस})	कटुः	1	(:Shuuka_dhanya {'lemma': यव})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': कटु}); (:Shuuka_dhanya {'lemma': यव})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': कटु}); (:Kshudra_dhanya {'lemma': यव})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': कटु})
293	गोधूमस्य प्रकाराः कति सन्ति?	३	२ / ३ / ४ / ५	उत्तरम्: ५	1		गोधूमस्य प्रकाराः त्रयः सन्ति	1		३	1	(:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_VARIANT_OF]-({'lemma': धवल-गोधूम}); (:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_VARIANT_OF]-({'lemma': पुराणगोधूम}); (:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_VARIANT_OF]-({'lemma': नवगोधूम})
294	शुक्रजनकः गोधूमप्रकारः कः अस्ति?	मधूली	मधूली / दीर्घगोधूमः / महागोधूमः / सर्वे	दीर्घगोधूमः	1		मधूली	1	(:Shuuka_dhanya {'lemma': मधूली})<-[:IS_SNIGDHA_RUUKSHA_GUNA_OF]-({'lemma': स्निग्ध}); (:Shuuka_dhanya {'lemma': मधूली})<-[:IS_RASA_PROPERTY_OF]-({'lemma': मधुर}); (:Shuuka_dhanya {'lemma': मधूली})-[:HAS_WORSE_SIZE_PROPERTY_THAN]->({'lemma': गोधूम})	दीर्घगोधूमः	1	(:Shuuka_dhanya {'lemma': मधूली})-[:IS_VARIANT_OF]->({'lemma': गोधूम}); (:Shuuka_dhanya {'lemma': मधूली})-[:HAS_WORSE_SIZE_PROPERTY_THAN]->({'lemma': गोधूम}); (:Shuuka_dhanya {'lemma': दीर्घगोधूम})-[:IS_VARIANT_OF]->({'lemma': गोधूम}); (:Shuuka_dhanya {'lemma': दीर्घगोधूम})<-[:IS_SYNONYM_OF]-({'lemma': नन्दीमुख})
296	नेत्राभ्यां हितकरम् शिम्बीधान्यम् किम्?	मुद्गः	मुद्गः / माषः / आढकी / राजमाषः	मुद्गः	1		मुद्गः	1	(:Part_of_body {'lemma': नेत्र})-[:IS_BENEFITTED_BY]->({'lemma': मुद्ग}); (:Part_of_body {'lemma': नेत्र})-[:IS_BENEFITTED_BY]->({'lemma': मुद्ग})	मुद्गः	1	(:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र})
297	निम्नलिखितेषु कृमिकारकम् शिम्बीधान्यम् किम्?	वनमुद्गः	मुद्गः / वनमुद्गः / निष्पावः / मसूरः	निष्पावः	1		मुद्गः	1		"निष्पावः

कारणम्: निष्पावः शिम्बीधान्येषु गण्यते, परन्तु अन्येभ्यः विशिष्य कृमिकारकं भवति निष्कर्षित-ज्ञानानुसारं निष्पावः शिम्बिधान्यस्य प्रकारः अस्ति, किन्तु तस्य कृमिकारकत्वं विशेषेण उल्लिखितं नास्ति तथापि, आयुर्वेदीय-ग्रन्थेषु निष्पावस्य कृमिकारकत्वं प्रसिद्धम् अस्ति"	1	(:Shimbii_dhanya {'lemma': मुद्ग})-[:IS_TYPE_OF]->({'lemma': शिम्बिधान्य}); (:Shimbii_dhanya {'lemma': मुद्ग})-[:IS_TYPE_OF]->({'lemma': शिम्बिधान्य}); (:Shimbii_dhanya {'lemma': निष्पाव})-[:IS_TYPE_OF]->({'lemma': शिम्बिधान्य}); (:Shimbii_dhanya {'lemma': मुद्ग})-[:IS_TYPE_OF]->({'lemma': वैदल}); (:Shimbii_dhanya {'lemma': मुद्ग})-[:IS_TYPE_OF]->({'lemma': वैदल}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': वनजमुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': वनजमुद्ग})
298	निम्नलिखितेषु कः चणकस्य पर्यायः?	सर्वे	हरिमन्थः / सकलप्रियः / चणकः / सर्वे	हरिमन्थः	1		सर्वे	1	(:Shimbii_dhanya {'lemma': हरिमन्थ})-[:IS_SYNONYM_OF]->({'lemma': चणक}); (:Shimbii_dhanya {'lemma': सकलप्रिय})-[:IS_SYNONYM_OF]->({'lemma': चणक}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_SYNONYM_OF]-({'lemma': हरिमन्थ}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_SYNONYM_OF]-({'lemma': सकलप्रिय})	"सर्वे

चणकस्य पर्यायाः हरिमन्थः, सकलप्रियः च स्तः अतः प्रश्ने दत्तेषु विकल्पेषु सर्वे शब्दाः (हरिमन्थः, सकलप्रियः, चणकः) चणकस्य पर्यायाः सन्ति"	1	(:Shimbii_dhanya {'lemma': हरिमन्थ})-[:IS_SYNONYM_OF]->({'lemma': चणक}); (:Shimbii_dhanya {'lemma': सकलप्रिय})-[:IS_SYNONYM_OF]->({'lemma': चणक}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_SYNONYM_OF]-({'lemma': हरिमन्थ}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_SYNONYM_OF]-({'lemma': सकलप्रिय})
299	निम्नलिखितेषु कः कलायस्य पर्यायः नास्ति?	हरिमन्थः	वर्त्तुलः / सतीनः / हरेणुकः / हरिमन्थः	वर्त्तुलः	1		हरिमन्थः	1	(:Shimbii_dhanya {'lemma': हरेणुक})-[:IS_SYNONYM_OF]->({'lemma': कलाय}); (:Shimbii_dhanya {'lemma': सतीन})-[:IS_SYNONYM_OF]->({'lemma': कलाय})	हरेणुकः	1	(:Shimbii_dhanya {'lemma': सतीन})-[:IS_SYNONYM_OF]->({'lemma': कलाय}); (:Shimbii_dhanya {'lemma': कलाय})<-[:IS_SYNONYM_OF]-({'lemma': वर्त्तुल}); (:Shimbii_dhanya {'lemma': कलाय})<-[:IS_SYNONYM_OF]-({'lemma': सतीन})
300	तिलस्य भेदाः कतयः भवन्ति?	३	२ / ३ / ४ / कोऽपि भेदः नास्ति	३	1	(:Substance {'lemma': तिलभेद})-[:IS_SYNONYM_OF]->({'lemma': खाखस})	तिलस्य भेदाः त्रयः भवन्ति	1	(:Shimbii_dhanya {'lemma': तिल})<-[:IS_VARIANT_OF]-({'lemma': पुराणतिल}); (:Shimbii_dhanya {'lemma': तिल})<-[:IS_VARIANT_OF]-({'lemma': नवतिल}); (:Shimbii_dhanya {'lemma': तिल})<-[:IS_VARIANT_OF]-({'lemma': वन्यतिल})	"उत्तरम्: ३

तिलस्य त्रयो भेदाः भवन्ति - कृष्णतिलः, पुराणतिलः, नवतिलश्च निष्कर्षित-ज्ञानानुसारं एते त्रयः तिलस्य प्रकाराः उल्लिखिताः सन्ति"	1	(:Shimbii_dhanya {'lemma': तिल})<-[:IS_VARIANT_OF]-({'lemma': कृष्णतिल}); (:Shimbii_dhanya {'lemma': तिल})<-[:IS_BEST_AMONG]-({'lemma': कृष्णतिल}); (:Shimbii_dhanya {'lemma': तिल})<-[:IS_VARIANT_OF]-({'lemma': पुराणतिल}); (:Shimbii_dhanya {'lemma': तिल})<-[:IS_VARIANT_OF]-({'lemma': नवतिल})
301	अतसी निम्नेषु कस्मै पर्यायः?	सर्वे	पार्वती / उमा / क्षुमा / सर्वे	क्षुमा	1		सर्वे	1		क्षुमायै	1	(:Shimbii_dhanya {'lemma': पार्वती})-[:IS_SYNONYM_OF]->({'lemma': अतसी}); (:Shimbii_dhanya {'lemma': उमा})-[:IS_SYNONYM_OF]->({'lemma': अतसी}); (:Shimbii_dhanya {'lemma': अतसी})<-[:IS_SYNONYM_OF]-({'lemma': पार्वती}); (:Shimbii_dhanya {'lemma': अतसी})<-[:IS_SYNONYM_OF]-({'lemma': उमा})
