ID	QUESTION	ANSWER	CHOICES	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
104	कस्तूर्याः कः भेदः श्रेष्ठः? 	कामरूपः	कामरूपः / नेपाली / काश्मीरी / लताकस्तूरी	काश्मीरी	कामरूपः	लताकस्तूरी	कामरूपः
113	सुरभिदारु कस्य पर्यायः?	सरलः	देवदारुः / दारूहरिद्रा / अगुरुः / सरलः	सुरभिदारु अगुरुः	देवदारुः	देवदारुः	देवदारुः
114	कालानुसार्यं कस्य पर्यायः?	तगरः; तगरस्य	तगरः / अगुरुः / देवदारुः / सरलः	सरलः	अगुरुः	अगुरुः	तगरः
117	देवधूप इति कस्य पर्यायः?	रालः	गुग्गुलुः / रालः / अगुरुः / चन्दनम्	गुग्गुलुः	गुग्गुलुः	गुग्गुलुः	गुग्गुलुः
119	जातिपत्री इति का?	जातीफलस्य त्वक्; जातिफलस्य त्वक्	जातीफलस्य मूलम् / जातीफलस्य त्वक् / जातीफलस्य स्तम्भः / जातीफल पुष्पम्	जातीफलस्य त्वक्	जातीफलस्य मूलम्	जातिफलं	जातीफलस्य मूलम्
126	निम्नेषु कः त्रिजातस्य घटकः न? 	नागकेशरः	एला / नागकेशरः / त्वक् / पत्रकः	पत्रकः	नागकेशरः	पत्रकः	त्रिजातस्य घटकः नागकेशरः
129	हट्टविलासिनी कस्य पर्यायः?	स्वल्पनखी	कुक्कुमम् / स्वल्पनखी / भङ्गा / धत्तूरः	भङ्गा	भङ्गा	धत्तूरः	कुक्कुमम्
144	बृहती इति कस्य पर्यायः?	वार्ताकी ; कण्टकारी ; द्वयोः	वार्ताकी / कण्टकारी / द्वयोः / किमपि न	कण्टकारी	वार्ताकी	कण्टकारी	वार्ताकी
145	अंशुमती कस्य पर्यायः?	शालपर्णी 	शालपर्णी / शतावरी / काकोली / जीवन्ती	शालपर्णी	शतावरी	शालपर्णी	शतावरी
148	शाकश्रेष्ठा इति कस्य पर्यायः?	जीवन्ती	जीवन्ती / वार्ताकी / चाङ्गेरी / पालङ्क्या	पालङ्क्या	वार्ताकी	जीवन्ती	चाङ्गेरी
149	सूर्यपर्णी कस्य पर्यायः?	मुद्गपर्णी	शालपर्णी / पृष्णिपर्णी / मुद्गपर्णी / माषपर्णी	शालपर्णी	माषपर्णी	शालपर्णी	मुद्गपर्णी
150	भावप्रकाशे निम्नेषु द्रव्येषु किं द्रव्यं जीवनीयगणस्य घटकः न? 	कश्चन 	माषपर्णी / मुद्गपर्णी / यष्टिमधु / कश्चन 	कश्चन	माषपर्णी	यष्टिमधु	माषपर्णी
152	सप्तविध-वृद्धिं किं द्रव्यं अपाकरोति?	एरण्डः	एरण्डः / स्नुही / रास्ना / शाल्लकी	रास्ना	एरण्डः	एरण्डः	एरण्डः
158	किं द्रव्यं मूषकविषनाशकम् अस्ति? 	महानिम्बः	अर्कः / निम्बः / भल्लातकः / महानिम्बः	महानिम्बः	भल्लातकः	भल्लातकः	अर्कः
164	करंजभेदः कः ? 	कण्टक-करञ्जः ; घृत-करञ्जः	वल्ली-करञ्जः / कण्टक-करञ्जः / घृत-करञ्जः	घृत-करञ्जः	वल्ली-करञ्जः	वल्ली-करञ्जः	वल्ली-करञ्जः
168	बलाचतुष्टयस्य द्रव्याः के? 	(बला + महाबला + अतिबला + नागबला) ; (बरियारा + सहदेवी + ककहिया + गुलशकरी); बलामहाबलाअतिबलानागबला	बला + महाबला + अतिबला + नागबला / बरियारा + सहदेवी + ककहिया + गुलशकरी / बला + सहदेवी + महाबला + ऋष्यप्रोक्ता	बला + सहदेवी + महाबला + ऋष्यप्रोक्ता	बला + महाबला + अतिबला + नागबला	बला + महाबला + अतिबला + नागबला	बलाचतुष्टयस्य द्रव्याः महाबला + अतिबला + नागबला + सहदेवी
171	दर्भद्वये के द्रव्ये स्तः?	कुश-क्षुरपत्रम्	कुश-काशः / नल-दर्भः / कुश-इक्षुः / कुश-क्षुरपत्रम्	कुश-काशः	कुश-काशः	कुश-काशः	कुश-काशः
172	स्वादुकन्दा इति कस्य पर्यायः?	विदारीकन्दः	वराहीकन्दः / विदारीकन्दः / सूरणकन्दः / मुशलीकन्दः	विदारीकन्दः	सूरणकन्दः	वराहीकन्दः	वराहीकन्दः
181	क्षीरीवृक्षपञ्चके किं द्रव्यं न अस्ति ? 	शिरीषः	शिरीषः / पारीषः / प्लक्षः / उदुम्बरः	पारीषः	पारीषः	पारीषः	प्लक्षः
182	न्यग्रोधः उदुम्बरः पिप्पलम् पारीषः प्लक्षश्च सङ्कलितं किं कथ्यते?	पञ्चवल्कलम् ; पञ्चक्षीरी	पञ्चवल्कलम् / पञ्चक्षीरी / पञ्चमूलम्	पञ्चवल्कलम्	पञ्चवल्कलम्	पञ्चमूलम्	पञ्चवल्कलम्
183	अर्जुनः कस्मिन् वर्गे वर्ण्यते?	वटादिवर्गे	आम्रादिवर्गे / वटादिवर्गे / हरीतक्यादिवर्गे / गुडूच्यादिवर्गे	वटादिवर्गे	वटादिवर्गे	वटादिवर्गे	गुडूच्यादिवर्गे
185	क्षारश्रेष्ठः इति कस्य पर्यायः?	पलाशः 	अपामार्गः / पलाशः / टङ्कणः / सर्जकः	टङ्कणः	अपामार्गः	अपामार्गः	पलाशः
189	आम्रातियोगात् उत्पन्नानां दोषाणां निवारणचिकित्सा का?	शुण्ठी + जलम् ; सौवर्चललवणम् + जीरकम्	शुण्ठी + जलम् / सौवर्चललवणम् + जीरकम् / मधुयष्टी + मधु + घृतम्	मधुयष्टी + मधु + घृतम्	शुण्ठी + जलम्	सौवर्चललवणम् + जीरकम्	अष्टांगहृदये
191	गुल्मिभिः मन्दवह्निभिः च विशेषेण किं वर्ज्यम्?	पनसः	पनसः / आम्रः / लकुचः / कदली	पनसः	पनसः	आम्रः	पनसः
197	बहुलवल्कलः कस्य पर्यायः अस्ति?	प्रियालः	प्रियालः / खदिरः / भूर्जपत्रम्	खदिरः	भूर्जपत्रम्	प्रियालः	प्रियालः
198	गर्भसंस्थापकं परम् इति कस्य वर्णनम् अस्ति?	पद्माक्षः	पद्माक्षः / अरिष्ठकः / लक्ष्मणा / पुत्रजीवकः	लक्ष्मणा	पुत्रजीवकः	पद्माक्षः	पद्माक्षः
199	जलफलः इति कस्य पर्यायः?	श्रृङ्गाटकः	नारिकेलः / खर्बूजः / श्रृङ्गाटकः / कालिन्दः	खर्बूजः	नारिकेलः	नारिकेलः	नारिकेलः
200	स्वादुफला इति कस्य पर्यायः?	द्राक्षा; द्राक्षायाः	द्राक्षा / आम्रः / कदली / कालिन्दः	द्राक्षा	द्राक्षा	द्राक्षा	कदली
206	निम्नलिखितेषु पर्यायेषु किं फलं मुद्गलानां देशे आधिक्येन प्राप्यते?	अमृतफलम्	सेवम् / वातादः / अमृतफलम् / आम्रम्	आम्रम्	आम्रम्	आम्रम्	अमृतफलम्
207	कृमिसमूहनाशकः इति कस्य वर्णनम्?	निम्बूकम्	बीजपूरक / जम्बीरी निम्बूः / निम्बूकम् / मधुकर्कटी	निम्बूकम्	बीजपूरक	मधुकर्कटी	जम्बीरी निम्बूः
208	बिल्वकर्कटी इति कस्य पर्यायः?	बिल्वफलम्	बिल्वफलम् / बिल्वमज्जा / बिल्वपत्रम् / बिल्वमूलम्	बिल्वमूलम्	बिल्वमज्जा	बिल्वफलम्	बिल्वफलम्
214	निम्नलिखितेषु पर्यायेषु चतुरम्ले किम् नास्ति?	बीजपूरकनिम्बूः	अम्लवेतसः / बीजपूरकनिम्बूः / वृक्षाम्लः / जम्बीरनिम्बूः	वृक्षाम्लः	वृक्षाम्लः	अम्लवेतसः	अम्लवेतसः
219	रजतस्य उत्पत्तिः कस्मात् भवति?	शिवस्य अश्रुभ्यः	शिवस्य वीर्यतः / शिवस्य अश्रुभ्यः / पार्वत्याः अश्रुभ्यः / चन्द्रमसः	चन्द्रमसः	चन्द्रमसः	चन्द्रमसः	पार्वत्याः अश्रुभ्यः
220	कृत्रिमं रूप्यं कस्मात् उत्पद्यते?	वङ्गादि एवं पारदतः	पारदतः / स्वर्णतः / वङ्गादि एवं पारदतः / वङ्गादि एवं गन्धकतः	वङ्गादि एवं पारदतः	पारदतः	पारदतः	वङ्गादि एवं पारदतः
230	कांस्यस्य उत्पत्तिः कस्मात् भवति?	ताम्र + वङ्गात्	ताम्रात् / ताम्र + वङ्गात् / यशद + ताम्रात् / यशद + वङ्गात्	ताम्र + वङ्गात्	ताम्र + वङ्गात्	ताम्र + वङ्गात्	यशद + ताम्रात्
231	आरकूटम् इति कस्य पर्यायः?	पित्तलम्	स्वर्णमाक्षिकम् / कांस्यम् / खर्परम् / पित्तलम्	स्वर्णमाक्षिकम्	पित्तलम्	स्वर्णमाक्षिकम्	स्वर्णमाक्षिकम्
232	पित्तलस्य उत्पत्तिः कस्मात् भवति?	ताम्र-यशदात्	ताम्र-यशदात् / ताम्र-वङगात् / यशद-वङगात् / स्वर्ण-ताम्रात्	ताम्र-वङगात्	ताम्र-यशदात्	ताम्र-यशदात्	यशद-वङगात्
235	सौवर्णशिलाजतोः वर्णः कः भवति?	जपापुष्पवर्णः	पाण्डुरः / मयूरकण्ठवर्णः / जपापुष्पवर्णः / जटायुपक्षाभः	मयूरकण्ठवर्णः	मयूरकण्ठवर्णः	पाण्डुरः	मयूरकण्ठवर्णः
236	राजतशिलाजतोः वर्णः कः भवति?	पाण्डुरः	कृष्णः / पाण्डुरः / रक्तः / जपापुष्पवर्णः	कृष्णः	रक्तः	पाण्डुरः	कृष्णः
237	ताम्रशिलाजतोः वर्णः कः भवति?	मयूरकण्ठसमः	जपापुष्पसमानः / मयूरकण्ठसमः / कृष्णः / पाण्डुरः	मयूरकण्ठसमः	मयूरकण्ठसमः	कृष्णः	कृष्णः
238	लौहशिलाजतोः वर्णः कः भवति?	जटायुपक्षाभम्	कृष्णः / श्वेतः / जटायुपक्षाभम् / मयूरकण्ठसमः	कृष्णः	मयूरकण्ठसमः	कृष्णः	कृष्णः
240	पारदस्य कति भेदाः भवन्ति?	४; चतुर्विधः; चतुर्विधम्; चत्वारः		अष्टौ	चत्वारः	द्वौ	पारदस्य दश भेदाः भवन्ति
242	रुजायाः नाशाय उत्तमः पारदः कः?	श्वेतः	श्वेतः / पीतः / रक्तः / कृष्णः	रक्तः	रक्तः	श्वेतः	श्वेतः
243	पारदस्य पर्यायाः के?	सर्वे	रसधातुः / सूतः / महारसः / सर्वे	सर्वे	सर्वे	सर्वे	सर्वे
245	पारदस्य वङ्गदोषस्य कार्यं किम्?	कुष्ठम्	मूर्च्छा / कुष्ठम् / जडता / वीर्यनाशः	मूर्च्छा	वीर्यनाशः	मूर्च्छा	वीर्यनाशः
246	कति उपरसाः सन्ति?	२०	१० / २० / ३० / ३६	२०	३६	३०	३६
247	अधोलिखितेषु हिङ्गुलः कस्य पर्यायः नास्ति?	चर्मारः	दरदः / म्लेच्छः / चूर्णपारदः / चर्मारः	म्लेच्छः	चर्मारः	चूर्णपारदः	अधोलिखितेषु हिङ्गुलः कस्य पर्यायः नास्ति? म्लेच्छः
248	हिङ्गुलस्य कति भेदाः?	३; त्रयः	२ / ३ / ४ / ६	४	चत्वारः	त्रिः	६
250	सर्वोत्तमः हिङ्गुलप्रकारः कः?	हंसपादः	चर्मारः / शुक्रतुण्डकः / हंसपादः / दरदः	हंसपादः	दरदः	शुक्रतुण्डकः	चर्मारः
252	गन्धकस्य कति भेदाः?	४	२ / ३ / ४ / ६	३	४	६	६
254	व्रणादिषु लेपनाय योग्यः कः गन्धकः?	श्वेतः	रक्तवर्णः / पीतः / कृष्णः / श्वेतः	कृष्णः	श्वेतः	श्वेतः	रक्तवर्णः
255	श्रेष्ठः गन्धकः कः?	कृष्णवर्णः	रक्तवर्णः / कृष्णवर्णः / पीतवर्णः / श्वेतः	रक्तवर्णः	रक्तवर्णः	पीतवर्णः	रक्तवर्णः
256	सुदुर्लभः गन्धकः कः अस्ति?	कृष्णः	श्वेतः / रक्तः / कृष्णः / पीतः	कृष्णः	कृष्णः	श्वेतः	कृष्णः
262	कस्मिन् पर्वते उत्पन्नं अभ्रकं अत्यन्तं बहुसत्त्वम् भवति?	उत्तरशैले	उत्तरशैले / पूर्वशैले / दक्षिणशैले / पश्चिमशैले	उत्तरशैले	उत्तरशैले	उत्तरशैले	उत्तरशैले
263	स्वल्पसत्त्वम् अभ्रकं कस्मिन् पर्वते भवति?	दक्षिणशैले	उत्तरशैले / पूर्वशैले / दक्षिणशैले / पश्चिमशैले	दक्षिणशैले	उत्तरशैले	उत्तरशैले	उत्तरशैले
264	हरितालस्य कति भेदाः सन्ति?	२	२ / ३ / ४ / ६	२	३	२	६
266	मनःशिलायाः पर्यायाः के सन्ति?	सर्वे	नैपाली / कुनटी / गोला / सर्वे	सर्वे	सर्वे	गोला	नैपाली / कुनटी / गोला / शलाका
267	अशुद्धायाः मनःशिलायाः कः दोषः भवति?	मूत्रकृच्छ्रः	मूत्रकृच्छ्रः / मधुमेहः / कुष्ठः / अग्निमान्द्यम्	कुष्ठः	मूत्रकृच्छ्रः	मधुमेहः	मूत्रकृच्छ्रः
268	अञ्जनस्य कति भेदाः भवन्ति?	२	२ / ३ / ४ / ६	४	६	६	६
272	सुरमृत्तिका कस्य पर्यायः अस्ति?	सौराष्ट्री; सौराष्ट्र्याः	कासीसम् / खर्परः / सौराष्ट्री / वालुका	सौराष्ट्री	सौराष्ट्री	सौराष्ट्री	सुरमृत्तिका कस्य पर्यायः वालुका अस्ति
275	निषद्वरः कस्य पर्यायः अस्ति?	कर्दमः	कर्दमः / कृष्णमृत्तिका / बोलम् / कङ्कुष्ठः	कृष्णमृत्तिका	बोलम्	कर्दमः	कङ्कुष्ठः
277	चुलुकः कस्य पर्यायः अस्ति?	मलः ; पलितः; मलस्य	वराटः / मलः / पलितः	वराटः	वराटः	मलः	वराटः
278	कङ्कुष्ठस्य भेदाः कति?	२	२ / ३ / ४ / ६	चतुरः	चत्वारः	षट्	६
279	हीरकः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वे	चन्द्रः / मणिवरः / वज्रः / सर्वे	वज्रः	सर्वे	वज्रः	चन्द्रः
281	शोणरत्नं कस्य पर्यायः अस्ति?	माणिक्यम्	हीरकः / माणिक्यम् / नीलमणिः / वैदूर्यम्	माणिक्यम्	माणिक्यम्	माणिक्यम्	वैदूर्यम्
282	अश्मगर्भः कस्य पर्यायः अस्ति?	हरिन्मणिः; हरिन्मणेः	हरिन्मणिः / नीलमणिः / वैदूर्यमणिः / पुष्परागः	वैदूर्यमणिः	वैदूर्यमणिः	पुष्परागः	वैदूर्यमणिः
283	केतुग्रहवल्लभः अधोलिखितेषु कस्य पर्यायः अस्ति?	वैदूर्यम्	इन्द्रनालः / पुष्परागः / माणिक्यम् / वैदूर्यम्	वैदूर्यम्	इन्द्रनालः	पुष्परागः	पुष्परागः
284	स्थावरविषाणि कति सन्ति?	९; नव	५ / ७ / ९ / ११	९	९	११	९
285	उपविषाणि कति सन्ति?	७; सप्त	५ / ७ / ९ / ११	११	७	११	५
286	धान्यस्य  प्रकाराः कति सन्ति?	५; पञ्च	२ / ३ / ४ / ५	५	धान्यस्य  प्रकाराः द्वौ सन्ति	पञ्च	५
289	सर्वोत्तमम् व्रीहिधान्यम् किम्?	कृष्णव्रीहिः	कुकटाण्डकः / शालामुखः / कृष्णव्रीहिः / जतुमुखः	कृष्णव्रीहिः	शालामुखः	कृष्णव्रीहिः	कृष्णव्रीहिः
290	सर्वोत्तमः शालिधान्यम् किम्?	रक्तशालिः	वापिता शालिः / रक्तशालिः / छिन्नरूढा शालिः / पुराणशालिः	पुराणशालिः	वापिता शालिः	वापिता शालिः	वापिता शालिः
291	यवस्य विपाकः कः अस्ति?	कटुः	मधुरः / अम्लः / कटुः / तिक्तः	मधुरः	मधुरः	मधुरः	मधुरः
293	गोधूमस्य प्रकाराः कति सन्ति?	३; त्रयः	२ / ३ / ४ / ५	४	४	त्रि	५
294	शुक्रजनकः गोधूमप्रकारः कः अस्ति?	मधूली	मधूली / दीर्घगोधूमः / महागोधूमः / सर्वे	सर्वे	मधूली	सर्वे	मधूली
296	नेत्राभ्यां हितकरम् शिम्बीधान्यम् किम्?	मुद्गः	मुद्गः / माषः / आढकी / राजमाषः	मुद्गः	मुद्गः	माषः	मुद्गः
297	निम्नलिखितेषु कृमिकारकम् शिम्बीधान्यम् किम्?	वनमुद्गः	मुद्गः / वनमुद्गः / निष्पावः / मसूरः	वनमुद्गः	निष्पावः	वनमुद्गः	मुद्गः
298	निम्नलिखितेषु कः चणकस्य पर्यायः?	सर्वे	हरिमन्थः / सकलप्रियः / चणकः / सर्वे	हरिमन्थः	सर्वे	हरिमन्थः	चणकस्य पर्यायः हरिमन्थः
299	निम्नलिखितेषु कः कलायस्य पर्यायः नास्ति?	हरिमन्थः	वर्त्तुलः / सतीनः / हरेणुकः / हरिमन्थः	सतीनः	हरिमन्थः	सतीनः	हरेणुकः
300	तिलस्य भेदाः कतयः भवन्ति?	३	२ / ३ / ४ / कोऽपि भेदः नास्ति	३	त्रिविधाः	त्रयः	२
301	अतसी निम्नेषु कस्मै पर्यायः?	सर्वे	पार्वती / उमा / क्षुमा / सर्वे	सर्वे	सर्वे	उमा	देवी
310	निम्नलिखितेषु पर्यायेषु किं द्रव्यं सुखविरचकम् अस्ति?	पटोलमूलम्	पटोलपुष्पम् / पटोलनालः / पटोलपत्रम् / पटोलमूलम्	पटोलपत्रम्	पटोलपत्रम्	पटोलमूलम्	पटोलपुष्पम्
312	अर्शरोगिभ्यः विशेषेण पथ्यं शाकं किमस्ति?	सूरणः	सूरणः / डिण्डिशः / डोडिका / सर्वाणि	सूरणः	सूरणः	सर्वाणि	सर्वाणि
313	कन्दशाकेषु सर्वश्रेष्ठम् किम्?	सूरणः	नालः / कर्कोटी / सर्षपः / सूरणः	सूरणः	सूरणः	सूरणः	नालः
318	जाङ्गलमांसस्य भेदाः कतयः?	८; अष्टौ	२ / ४ / ६ / ८	६	आयुर्वेदे जाङ्गलमांसस्य भेदाः अष्टौ (८) वर्णिताः	षट्	८
319	अधोलिखितेषु पर्यायेषु पर्णमृगाणां विषये किं वाक्यं उचितम् अस्ति?	वृक्षेषु आरोहन्ति; वृक्षेषुआरोहन्ति	विकीर्य भक्षयन्ति / जङ्घायाः बलतः गच्छन्ति / वृक्षेषु आरोहन्ति / ग्रामे वसन्ति	विकीर्य भक्षयन्ति	वृक्षेषु आरोहन्ति |	वृक्षेषु आरोहन्ति	विकीर्य भक्षयन्ति
320	आनूपमांसस्य कति प्रकाराः सन्ति?	५; पञ्च	२ / ३ / ४ / ५	४	पञ्च	त्रीणि	५
321	शशकाः के इति कथ्यन्ते?	बिलेशयाः	पर्णमृगाः / गुहाशयाः / बिलेशयाः / विष्किराः	बिलेशयाः	बिलेशयाः	पर्णमृगाः	विष्किराः
324	कः जीवः कूलेचरः इति  कथ्यते?	यः जलाशयस्य कूले चरति	यः भ्रमित्वा खादति / यः जलाशयस्य कूले चरति / यः समूहसहितं खादति / यः जलाशये प्रविश्य चरति	यः जलाशयस्य कूले चरति	यः जलाशयस्य कूले चरति	यः जलाशयस्य कूले चरति	मछली
329	श्रेष्ठं मत्स्यमांसं किम्?	रोहितमांसम्	शिलोन्ध्रमांसम् / भाकुरमांसम् / रोहितमांसम् / श्रृङ्गीमांसम्	शिलोन्ध्रमांसम्	रोहितमांसम्	रोहितमांसम्	श्रेष्ठं मत्स्यमांसं शिलोन्ध्रमांसम्
331	जलस्य कति भेदाः सन्ति?	४; चत्वारः	२ / ३ / ४ / ५	५	दश	पञ्च	५
333	धाराजलस्य कति भेदाः सन्ति?	२; द्वौ	२ / ३ / ४ / ५	४	चार	पञ्च	५
335	भौमजलस्य कति प्रकाराः भवन्ति?	३; त्रयः	२ / ३ / ४ / ५	२	४	चतुर्विधाः	५
337	जलपानस्य विधेः कः कालः उचितः?	मुहुर्मुहुः	भोजनात्पूर्वम् / भोजनमध्यम् / भोजनान्ते / मुहुर्मुहुः	भोजनान्ते	भोजनात्पूर्वम्	भोजनमध्यम्	भोजनान्ते
339	कस्मिन् रोगे शीतलजलपानम् शस्यते?	मदात्ययः; मदात्यये	विद्रधिः / मदात्ययः / पार्श्वशूलः / वद्धकोष्ठः	मदात्ययः	विद्रधिः	विद्रधिः	विद्रधिः
340	कस्मिन् रोगे अल्पजलपानम् शस्यते?	सर्वे	उदररोगः / मुखप्रसेकः / क्षयः / सर्वे	उदररोगः	सर्वे	उदररोगः	उदररोगः
343	दुग्धपानम् कस्मिन् रोगे शस्यते?	सर्वेषु	जीर्णज्वरे / योनिरोगे / उदावर्ते / सर्वेषु	उदावर्ते	उदावर्ते	सर्वेषु	जीर्णज्वरे
346	किं दुग्धं कृमिकुष्ठनाशकम् अस्ति?	औष्ट्रदुग्धम्	औष्ट्रदुग्धम् / घोटकीदुग्धम्  / आविकदुग्धम्  / स्त्रीदुग्धम् 	घोटकीदुग्धम्	घोटकीदुग्धम्	स्त्रीदुग्धम्	स्त्रीदुग्धम्
350	सितायुक्तं दुग्धं किम् भवति?	शुक्रजनकः	वातनाशकः / शुक्रजनकः / कृच्छ्रनाशकः / कफकारकः	शुक्रजनकः	कफकारकः	कफकारकः	वातनाशकः
352	दध्नः भेदाः कति?	५; पञ्च	२ / ३/ ४ / ५	५	आयुर्वेदे दध्नः भेदाः अष्टौ  परन्तु प्रायः दध्नः भेदाः ८ न गणित्वा ३-४ भेदाः गणित्वा प्रसिद्धाः  त	पञ्च	पञ्च
353	किम् दधि उत्तमम् स्यात्?	आजम्	माहिषम् / गव्यम् / आजम् / गालितम्	माहिषम्	गव्यम्	गव्यम्	गव्यम्
357	अधोलिखितेषु पर्यायेषु तक्रस्य पर्यायाः के?	सर्वे	घोल / छच्छिका / उदश्वित् / सर्वे	सर्वे	सर्वे	सर्वे	तक्रः
361	किं घृतं विषनाशकम् अस्ति?	वडवाघृतम्	नारीघृतम् / आविकघृतम् / माहिषघृतम् / वडवाघृतम्	वडवाघृतम्	माहिषघृतम्	नारीघृतम्	वडवाघृतम्
362	अमृतोपमं घृतं इति कस्य वर्णनं?	स्त्रीघृतम्; स्त्री	माहिषघृतम् / गव्यघृतम् / स्त्रीघृत् / औष्ट्रघृतम्	गव्यघृतम्	गव्यघृतम्	गव्यघृतम्	माहिषघृतम्
363	किं घृतं कृमि-कुष्ठ-गुल्म-उदर-रोग-नाशकम्?	औष्ट्रघृतम्; औष्ट्र घृतम्	गव्य घृतम् / ह्यस्तन घृतम् / आविकघृतम् / औष्ट्रघृतम्	गव्य घृतम्	गव्य घृतम्	गव्य घृतम्	गव्य घृतम्
364	कास-श्वास-क्षये हितकरं घृतं किम् अस्ति?	आज	आज / आविक / गव्य / माहिष	आज	गव्य	गव्य	आविक
365	वीर्यवर्धकं घृतं किम्?	माहिष	माहिष / आज / औष्ट्र / गव्य	माहिष	माहिष	गव्य	गव्य
369	श्रेष्ठं तैलं किम्?	तिल	सर्षप / तिल / तुवरी / अतसी	तिल	तिल	तिलः	तिल
371	किं घृतं हीनवीर्यम् इति कथ्यते?	>1 वर्ष प्राचीनस्य पक्वः; 1वर्षप्राचीनस्यपक्वः	<1 वर्ष प्राचीनस्य पक्वः / >1 वर्ष प्राचीनस्य पक्वः / 10 वर्ष प्राचीनं घृतम् / 100 वर्ष प्राचीनं घृतम्	>1 वर्ष प्राचीनस्य पक्वः	>1 वर्ष प्राचीनस्य पक्वः	100 वर्ष प्राचीनं घृतम्	10 वर्ष प्राचीनं घृतम्
373	मद्यस्य पर्यायाः के?	सर्वे	कादम्बरी / हाला / बलवल्लभा / सर्वे	सर्वे	सर्वे	सर्वे	कादम्बरी
374	सुरायाः विषये किं विधानं योग्यम्?	शालि च षष्टिकं च धान्यचूर्णात् निर्मितं मद्यम्	पक्वा औषधं च जलं च साधितं मद्यम् / शालि च षष्टिकं च धान्यचूर्णात् निर्मितं मद्यम् / ईक्ष्वात् निर्मितं मद्यम् / किञ्चित् अपि नैव	किञ्चित् अपि नैव	किञ्चित् अपि नैव	नैव	अर्कपानं
375	वारुण्याः विषये किं विधानं योग्यम्?	पुनर्नवा च शालिधान्यं च	पुनर्नवा च शालिधान्यं च / शालि च षष्टिकं च धान्यम् / इक्ष्वात् निर्मितम् / औषधात् निर्मितम्	औषधात् निर्मितम्	इक्ष्वात् निर्मितम्	पुनर्नवा च शालिधान्यं च	वारुण्याः विषये योग्य विधानं पुनर्नवा च शालिधान्यं च शालि च षष्टिकं च धान्यम् इक्ष्वात् निर्मितम् औषधात् निर्म
377	मधुनः कति भेदाः सन्ति?	८; अष्टौ 	२ / ४ / ६ / ८	८	आयुर्वेदे मधुनः ८ भेदाः सन्ति	आठ	८
378	मधूच्छिष्टस्य पर्यायाः के?	सर्वे	सिक्थकः / मदनकः / मधूषितः / सर्वे	सर्वे	सर्वे	सर्वे	सर्वे
379	इक्षोः पर्यायाः के?	सर्वे	दीर्घच्छदः / असिपत्रः / मधुतृणः / सर्वे	सर्वे	सर्वे	सर्वे	इक्षोः पर्यायाः दीर्घच्छदः
380	इक्षोः कति भेदाः सन्ति?	१३	३ / ७ / १० / १३	१३	इक्षोः त्रयोदश भेदाः सन्ति	१३	१३
381	अधः लिखितेषु कः इक्षोः पर्यायः नास्ति?	काण्डेक्षुः	भूरिरसः / गुडमूलः / काण्डेक्षुः / असिपत्रः	असिपत्रः	असिपत्रः	गुडमूलः	असिपत्रः
382	गुडस्य शुण्ठ्या सह अनुपानं किं कार्यं करोति?	वातनाशकः	कफनाशकः / पित्तनाशकः / वातनाशकः / किमपि न	कफनाशकः	कफनाशकः	कफनाशकः	कफनाशकः
383	मागधमानानुसारं द्रोणस्य मात्रा का?	४ आढक; चत्वारः आढकाः	२ आढक / ३ आढक / ४ आढक / ६ आढक	४ आढक	४ आढक	२ आढक	६ आढक
384	कलिङ्गमानानुसारं ८ रत्ति मात्रा का?	१ माषः	१ शाणः / १ माषः / १ कोलः / १ कोलः	१ माषः	१ माषः	१ कोलः	१ कोलः
385	कषायस्य प्रकाराः कति?	५; पञ्च	३ / ५ / ७ / ९	५	पञ्च	पञ्च	९
386	स्वरसस्य् मात्रा का?	अर्द्धपलः	अर्द्धपलः / 1 पलः / सार्धैक पलः / 2 पलः	अर्द्धपलः	अर्द्धपलः	सार्धैक पलः	सार्धैक पलः
389	फाण्टार्थे द्रव्यस्य मात्रा का?	1 कुडवः; १ कुडवः	4 पलः / 8 पलः / 1 कुडवः / 1 प्रस्थः	8 पलः	४ पलः	4 पलः	1 प्रस्थः
390	कल्कस्य मात्रा का?	1 कर्षः; १ कर्षः	1 कर्षः / 1 पलः / 2 कर्षः / 3 पलः	1 कर्षः	१ कर्षः	1 पलः	1 कर्षः
391	फाण्टस्य सम्यक् मात्रा का?	2 पलः; २ पलः	1 पलः / 2 पलः / 4 पलः / 6 पलः	4 पलः	४ पलः	2 पलः	6 पलः
392	मन्थस्य मात्रा का?	2 पलः	अर्ध पलः / 1 पलः / सार्धैक पलः / 2 पलः	सार्धैक पलः	सार्धैक पलः	सार्धैक पलः	अर्ध पलः
393	चूर्णस्य मात्रा का?	1 कर्षः	अर्ध कर्षः / 1 कर्षः / अर्ध पलः / 1 पलः	अर्ध कर्षः	अर्ध कर्षः	अर्ध पलः	अर्ध कर्षः
394	वातसम्बन्धिषु रोगेषु चूर्ण-अवलेह-वटी-कल्कैः सह अनुपानस्य मात्रा का?	2 पलः; द्वौ पलौ;	1 पलः / 2 पलः / 3 पलः / 4 पलः	1 पलः	४ पलः	2 पलः	2 पलः
